Type,Indicator,Description,Info
URL,modestoobgyn[.]com,POWERPLANT C2,POWERPLANT
URL,myshortbio[.]com,POWERPLANT C2,POWERPLANT
URL,estetictrance[.]com,POWERPLANT C2,POWERPLANT
URL,internethabit[.]com,POWERPLANT C2,POWERPLANT
URL,bestsecure2020[.]com,POWERPLANT C2,POWERPLANT
URL,chyprediction[.]com,POWERPLANT C2,POWERPLANT
Indicator,d405909fd2fd021372444b7b36a3b806,POWERTRASH Cryptor & CARBANAK Payload,POWERTRASH
Indicator,122cb55f1352b9a1aeafc83a85bfb165,CROWVIEW (BIRDWATCH/JssLoader Variant),CROWVIEW
URL,domenuscdm[.]com,CROWVIEW/LOADOUT C2,CROWVIEW
Indicator,936b142d1045802c810e86553b332d2d,LOADOUT,LOADOUT
Indicator,23e1725769e99341bc9af48a0df64151,LOADOUT,LOADOUT
Indicator,4d56a1ca28d9427c440ec41b4969caa2,LOADOUT,LOADOUT
Indicator,50260f97ac2365cf0071e7c798b9edda,LOADOUT,LOADOUT
URL,spontaneousance[.]com,LOADOUT C2,LOADOUT
URL,fashionableeder[.]com,LOADOUT C2,LOADOUT
URL,incongruousance[.]com,LOADOUT C2,LOADOUT
URL,electroncador[.]com,LOADOUT C2,LOADOUT
Indicator,6fba605c2a02fc62e6ff1fb8e932a935,BEAKDROP,BEAKDROP
Indicator,49ac220edf6d48680f763465c4c2771e,BEACON,BEACON
URL,astara20[.]com,BEACON C2,BEACON
URL,coincidencious[.]com,BEACON C2,BEACON
Indicator,52f5fcaf4260cb70e8d8c6076dcd0157,Trojanized installer containing Atera Agent,Trojanized
Indicator,78c828b515e676cc0d021e229318aeb6,WINGNIGHT,WINGNIGHT
Indicator,70bf088f2815a61ad2b1cc9d6e119a7f,WINGNIGHT,WINGNIGHT
Indicator,4961aec62fac8beeafffa5bfc841fab8,FLYHIGH,FLYHIGH
URL,0212top[.]online,FIN7,FakeBat C2
URL,0212top[.]site,FIN7,FakeBat C2
URL,0212top[.]top,FIN7,FakeBat C2
URL,0212top[.]xyz,FIN7,FakeBat C2
URL,0909kses[.]top,FIN7,FakeBat C2
URL,11234jkhfkujhs[.]online,FIN7,FakeBat C2
URL,11234jkhfkujhs[.]site,FIN7,FakeBat C2
URL,11234jkhfkujhs[.]top,FIN7,FakeBat C2
URL,11234jkhfkujhs[.]xyz,FIN7,FakeBat C2
URL,1212stars[.]online,FIN7,FakeBat C2
URL,1212stars[.]site,FIN7,FakeBat C2
URL,1212stars[.]top,FIN7,FakeBat C2
URL,1212stars[.]xyz,FIN7,FakeBat C2
URL,2311foreign[.]xyz,FIN7,FakeBat C2
URL,2311forget[.]online,FIN7,FakeBat C2
URL,2311forget[.]site,FIN7,FakeBat C2
